,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,review
0,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,"A field blend of the Enclos vineyard has given a superrich wine, densely packed with juicy black plum fruits and sweet tannins. Ripe, full-bodied with a slight alcohol burn."
1,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.9940000000000001,3.3,0.49,9.5,6,"Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density. It's full of black fruit, toast and a touch of pepper. With ripe tannins and crisp acidity, it can easily age another year. Drink from 2018."
2,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,"This is a rich, ripe style of rosé, full of rich red-berry fruits and crispened by acidity. It is full bodied and just lightly textured. Drink now while it is still young and fruity."
3,7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.9956,3.19,0.4,9.9,6,"The aromas bring appeal, with notes of sour cherry, herbs and spice. The palate is light bodied, tart and elegant, with a coffee-filled finish. It's a pretty expression of the variety."
4,7.2,0.23,0.32,8.5,0.057999999999999996,47.0,186.0,0.9956,3.19,0.4,9.9,6,"Rustic earth and forest emanate from this Pinot Noir, a rare find from Yountville, a growing area more devoted to Cabernet Sauvignon. From organically grown grapes, the wine has a smooth taste of wild strawberry and is not overly complex, the finish abbreviated and the wine on the lower price range of the variety."
5,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,"As usual for Casa Silva, this Carmenère is foreceful, minty, herbal and spunky on the nose, with a bold fruit aroma. The mouthfeel is robust and juicy, and the flavors run from herbal plum to berry to carob. The finish is herbal, with length and texture."
6,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,"Aromas of butterscotch, herb and barrel spice are followed by full-bodied cherry and vanilla flavors, with the tannins bringing some grit. Ultimately, the wood seems to get a bit in the way of the fruit."
7,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,"This is a delightful wine, crowd pleasing and complex. It benefits from its lack of oak by focusing on its lifted fruit—a twist of fresh-squeezed lemon and grapefruit—its acidity nicely measured and not one-dimensional. The crisp freshness is complemented by a hint of white rock and subtle lushness on the back palate."
8,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.9940000000000001,3.3,0.49,9.5,6,"With tight acidity and intense black currant fruits, this wine has a raw edge. It presents a full, fresh, crisp texture that's bright, with layers of acidity at the end."
9,8.1,0.22,0.43,1.5,0.044000000000000004,28.0,129.0,0.9938,3.22,0.45,11.0,6,"Fresh-sliced Anjou and Asian pears aromas meet with sharper lemon oil and honeydew-melon notes on the nose of this bottling. Seared lime rinds, green pears and graphite combine on the sour and tart palate."
10,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,"Tobacco, mocha, lemony oak and red-fruit aromas comprise a good, traditional Rioja bouquet. The mouthfeel is pinched and raw, while herb, tomato and dried raspberry flavors carry the palate to an earthy, mossy conclusion. Drink this very good Rioja now through 2018."
11,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,"Pizza, burgers, tacos and similar everyday fare will go well with this Merlot. It's smooth in cherries, currants and cola."
12,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,"The color here is a deeper shade of gold and the fragrant aromas are characteristic of a well-made, concentrated Pinot Grigio: honey, peach and Golden Delicious apple ride over a creamy, supple mouthfeel. Fresh flavors include caramel and peach."
13,6.6,0.16,0.4,1.5,0.044000000000000004,48.0,143.0,0.9912,3.54,0.52,12.4,7,"With a heady bouquet of berry and peppery spice, new Edmeades winemaker Ben Salazar is showing great talent with Mendocino Zinfandel, producing a fairly large-scale bottling full of intense spice and soft tannins. Graham crackers and oak play gingerly in the background. This is a wonderful wine and a new beginning for Edmeades."
14,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5,"This wine is still tannic and firm, with a dry core of ripe fruit. The tannins will always be present, typical of this vintage. Drink now, but decant first."
15,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,"A plump nose full of fruit and spice shows black raspberry and mace. The palate is well fleshed out, with a range of fruit-forward flavors, including mulberry and exotic plum. Graphite minerality binds it together, surrounding tangy acidity."
16,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,"This wine is dark, rich and delicious, if a little tannic. Waves of blackberries, currants, anise and dark chocolate lead to a dry but voluptuous finish. Good value in a full-bodied red."
17,6.2,0.66,0.48,1.2,0.028999999999999998,29.0,75.0,0.9892,3.33,0.39,12.8,8,"A beautifully pure, linear but generous rendition of Riesling from the loess soils of Wagram: this has a softer aspect but still is beautifully slender and exquisitely balanced. All this needs are a few rays of sunshine to be enjoyed to the full."
18,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,"Apple and peach aromas are clean at first but struggle to stay vital. This is citrusy on the tongue, with acidity similar to orange juice. Mild flavors of orange and pink grapefruit finish light and fresh."
19,6.5,0.31,0.14,7.5,0.044000000000000004,34.0,133.0,0.9955,3.22,0.5,9.5,5,This cheerful Prosecco opens with foamy bubbles and soft perlage and then segues to low-key aromas of honey and citrus. The mouthfeel is lean and watery but the wine does offer attractive crispness on the close.
20,6.2,0.66,0.48,1.2,0.028999999999999998,29.0,75.0,0.9892,3.33,0.39,12.8,8,"The cool Coonawarra region can produce Shiraz with more elegance and complexity than is seen in hot regions, and this is a fine example, balancing ample weight with juicy acidity. Toasty oak frames flavors of cassis and mint, blackberry and spice. Drink this great value from now–2020."
21,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7,"This marks a real departure for Michael David, a producer that tends to make its wines big and bold. This soft, hardly oaked, lightly tannic Cinsault is from a very special old vineyard. With a smooth texture and a core of red cherry and cranberry flavors, it is light-bodied and very floral."
22,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8,"Soft and ripe green pears play on nose and palate where that textural, phenolic mouthfeel is the main feature, suggesting that this belongs firmly on the table."
23,7.6,0.67,0.14,1.5,0.07400000000000001,25.0,168.0,0.9937,3.05,0.51,9.3,5,"A big, rich style of Sancerre, but one that doesn't forget its mineral, flinty roots. The acidity has an edge of sweetness, opened by delicious berry fruit flavors, tangy in its citrus freshness. It could age for another 1–2 years."
24,6.6,0.27,0.41,1.3,0.052000000000000005,16.0,142.0,0.9951,3.42,0.47,10.0,6,"This is a ripe, fruity wine. The herbal side of the blend is filled out with more tropical, apricot and mango flavors that give the wine a perfumed character. It is ripe and crisp, while rounded. Drink from late 2017."
25,7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,6,"Soft and fruity, this Cabernet has fruit-forward flavors of blackberry, cherry pie and smoky oak. It's a tasty wine whose firm tannins suggest decanting for a few hours before service. Drink over the next few years."
26,6.9,0.24,0.35,1.0,0.052000000000000005,35.0,146.0,0.993,3.45,0.44,10.0,6,Piney sage and crisp sour cherry surround a bombastically brawny structure and outpouring of power in this 100% varietal wine. It should be enjoyed slowly and with plenty of food.
