,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,review
459,11.6,0.58,0.66,2.2,0.07400000000000001,10.0,47.0,1.0008,3.25,0.57,9.0,3,"Tannic and chewy, this is simple, sturdy and solidly in the herbal camp. Flavors are short and the finish leans into veggies."
517,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,3,"A crisply acidic Sauvignon Blanc, with savory flavors of citrus fruits, lemongrass and vanilla that finish with a honeyed sweetness. There's more than a touch of that gooseberry, feline spray that is a little cloying."
690,7.4,1.185,0.0,4.25,0.09699999999999999,5.0,14.0,0.9966,3.63,0.54,10.7,3,"A bit on the sweet, simple side, with flavors like a supermarket carton of pineapple, apple, pear and mango juices. Oak adds even sweeter notes of vanilla. Lacks complexity, especially at this price."
832,10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.9983200000000001,3.38,0.86,9.9,3,"Grapefruit and green fruit aromas on the nose, then a peachy sweet palate of canned fruits and syrup. So much pineapple and mango that it hardly seems like Casablanca SB. On a short life line."
899,8.3,1.02,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,3,"A clear step down from Brancott's single-estate Chardonnay bottlings, this wine offers vanilla and spice notes, modest fruit and a menthol-tinged finish."
1299,7.6,1.58,0.0,2.1,0.13699999999999998,5.0,9.0,0.9947600000000001,3.5,0.4,10.9,3,"Tan in color and fairly sharp stuff, with a prickly feel and piercing flavors of melon and peaches. At 14% alcohol it seems over the edge."
1374,6.8,0.815,0.0,1.2,0.267,16.0,29.0,0.99471,3.32,0.51,9.8,3,"Smells attractive enough, offering up chocolate, blackberry and spice aromas, but seems a bit thin and lacking in texture on the palate, finishing with some unintegrated alcohol. Imported by Vineyard Brands."
1469,7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,3,"Stewy yet flush, with shearing acids, this has a meaty, leafy aroma that sets up the angular palate. Flavors of stewed berry, spiced tomato and burnt leaves turn slightly bitter on what amounts to a short finish."
1478,7.1,0.875,0.05,5.7,0.08199999999999999,3.0,14.0,0.99808,3.4,0.52,10.2,3,"A thin, simple wine, with some berry flavors. Very dry, with somewhat sharp tannins and acidity, it finishes on a harsh green note."
1505,6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3,This is a fresh and fun rosé sparkling wine that offers subtle tones of cranberry and wild berry backed by touches of mint and sweet almond. Its personality is good natured and simple.
