,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,review
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,"This terroir-driven Pinot, from the Oregon side of the Columbia River, shows a dramatically different profile than the Willamette Valley Pinots commonly associated with the state. Kudos to winemaker Peter Rosback for finding great Pinot all over Oregon. This unique vineyard shows classic varietal fruit laced with mineral, kissed with toast, and finished with delicious mocha flavors from new oak barrels. The tart, tangy spine keeps it balanced and extends the fruit flavors well into a long, crisp finish."
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,"Simple and fruity, with chocolate, cherry, licorice, bacon and cedar flavors that finish dry and tannic. The blend is Syrah and Cabernet Sauvignon."
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,"Hendry Vineyard Zinfandels are among Napa's best. With this release, Rock Wall brings their high alcohol, lusty touch to the wine. It's a huge Zin, dry and tannic, with ripe blackberry, dark chocolate and crushed black peppercorn flavors. Drink it now and through 2021."
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,"84-86 Barrel sample. An over juicy wine, the fruit so ripe, soft, with candy shop flavors."
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,"Wood gives complexity to the wine's rich, soft fruit. Flavors of quince, honey and grapefruit blend well with the vanilla of the wood. This is the top white cuvée from Bertinerie, produced from old vines."
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,"With French winemaker Jean-Hugues Gros (who used to work in Burgundy with Jacques Prieur) in charge, Heredias  is producing both table wines and Ports. This 10-Year Oldis sweet, fresh, with caramel flavors, leavened with fresh acidity in the aftertaste."
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,"A firm, warm wine that appears closed up at this young stage in its career. It is structured with a firm and steely edge, the wine hinting at red apple, green plum and orange zest that balance with the toast. It could well age 7–8 years."
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,"Cherry, plum, bacon and licorice are all good aromas that indicate that this value wine has quality backing it up. The palate is fresh and clean, with depth and ripe, slightly oaked flavors of cassis, blackberry and chocolate. Easy to like, with toasty touches throughout."
8,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,"From one of the most simpatico producers in Piedmont, Marchesi di Gresy's bright Berbera d'Asti opens with a dark, browning color and inky aromas of mineral and black fruit. The finish is surprising bright and lively."
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,"Smoky aromas lead to a firmly tannic wine. It feels heavily extracted, giving a bitterness to the texture, while adding bitter chocolate to the black berry flavor."
10,6.7,0.58,0.08,1.8,0.09699999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,"A masculine, rubbery nose covered with oak and dark-fruit aromas is stage one. Next up comes a spicy, solid palate that has some tannin and complexity to go with dry berry flavors. Not uncommon or unusual. It's got the goods, so to speak."
11,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,"A rich Chardonnay—this is packed with apricot, orange jam, buttered toast and spice flavors that are wrapped into a creamy texture. It's a dry wine, boosted with bright, citrusy acidity."
12,5.6,0.615,0.0,1.6,0.08900000000000001,16.0,59.0,0.9943,3.58,0.52,9.9,5,"Here's a really good Chardonnay: Crisp, delicate and dry, it shows great acidity and brilliant fruit, saturating the palate with pineapple tart, Key lime pie, vanilla cream, crème brûlée and cinnamon spice flavors. Finishes with the deliciously creamy, yeasty complexities of lees aging."
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,"This wine has a compelling earthy funkiness that's both varietal and fun, a tangle of red fruit, sassafras and cardamom that's light and bright. It makes a great companion to food."
14,8.9,0.62,0.18,3.8,0.17600000000000002,52.0,145.0,0.9986,3.16,0.88,9.2,5,"In contrast to the château wine, this reserve from Château Lamothe-Cissac is for aging. It is still firmly tannic, solid and dark with big ripe fruit and spice from the wood. It holds together well, very balanced. Give it five years."
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,"Rubbery and tar-like at first, and those aromas just wouldn't loosen their grip. On the palate, there's some pleasant plum-like fruit and hints of espresso and asphalt. Tight, and needs time or substantial aeration to come around."
16,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,"This wine is full of red-berry flavors with a dry, stalky background texture. It is light and is the style of wine that could be served slightly chilled. The aftertaste brings out crisp acidity. Drink from 2016."
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,"Pretty scents and flavors suggest raspberry jam and blueberry compote; then some rather scrapey acids and stiff tannins kick in. The excellent fruit is there to begin, but it quickly turns one dimensional and finishes tannic and stemmy."
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,"Mature and a little waxy on the nose; this is a plump, fruity, semisoft wine with apple, pineapple and melon flavors. It's round and fairly mild, with plenty of taste, width and drinkability. Drink soon before it softens even further."
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,"A lovely Barbera. Shows the full-bodied, tannic structure and tart acidity of the variety, but is so rich in flavor, you want to drink it now. Floods the mouth with blackberries, currants, dark chocolate, anise and toasted almonds."
20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,"Rusty in hue, with mature, slightly old aromas of leather, gym bag, dried leaves and mature berry. The palate has depth and concentration, while the flavors are herbal and run toward baked black cherry and tobacco. Caramel and mature fruit flavors vie for control of the roasted finish."
21,7.6,0.39,0.31,2.3,0.08199999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,"A striking and flavorful wine, this bottling shows a little more spicy oak than most of the Renwoods, giving a slightly sweet cinnamon accent to the vivid blackberry and strawberry syrup flavors. The fruit character is powerful and delicious, seemingly seeping out of the wine in all directions. It's dry, full bodied, firm textured and will drink nicely now through 2020."
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,"Dry, crisp and elegantly structured, which are the best features of Lake County Sauvignon Blanc. But there's just too much feline essence and asparagus, and it's pretty aggressive."
23,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,"Smoky but also sort of salinic on the nose, with pumped-up berry and black currant aromas. The palate is chewy and a bit heavy, with dark berry, cassis and peppery flavors. Heavy, sultry and black on the finish, with a lasting syrupy sweetness. Should be appealing to most Malbec fans."
24,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,"This is a very pleasant and elegant blend of Nero d'Avola, Cabernet Sauvignon and Merlot that does a great job of presenting a united aromatic front. There are no loose edges here and the wine is compact and smooth in the mouth. Very nice."
25,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,"A heavy cloak of oak can't hide the high alcohol level (15%). Sure, the alcohol provides weight and texture, but also heat on the finish. The black cherry and black pepper flavors need some time to smooth the rough edges, but then the alcohol will likely become more prominent. Drink young for its rustic ebullience, with rare beef to help tame the tannins."
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,"Lemony and light on entry, this tropically kissed, textured white develops body and weight over time, finding a balance and elegance that's hard to ignore. A touch of white peach wraps up the finish."
27,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,"Clos de Sainte-Catherine is at the summit of the sweet wines of Coteaux du Layon. This comes from a great year for sweet wines, and that shows in the impressive balance between intense sweetness and acidity. It's smooth and crisp at the same time, a great combination. Age for 10 years and more. Screwcap."
28,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,"The dominant aromas are smoke, toast and cinnamon, which ride over tart-cherry fruit. Turns quite stemmy and tough on the finish. Drink young, with a piece of rare beef to help tame the tannins."
29,7.8,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6,"Showing the big, forward, ripe fruit that is currently in favor in California, this Pinot is high in acidity, with a bracing quality despite rich cherry, cola, rhubarb and mocha flavors and a hint of sautéed mushrooms. It's bone dry, and has a young, sappy quality that suggests midterm aging. Drink now–2010."
30,6.7,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,0.9958,3.35,0.54,10.1,5,"With no oak, this wine's inherent fruit stars, showing citrus, melons and peaches. With crisp acidity, it's clean, brisk and entirely dry, despite relatively low alcohol. But it's strong in those perfumed pyrazines that turn some people off."
31,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,"The bright acid spine of this sassy wine shows off its sour cherry fruit and cinnamon-charcoal accents. Finishes dry, with some lingering toast flavors and mildly astringent tannins."
32,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,"Nice and dry, with crisp acidity and a good stream of bubbles, this sparkler has pleasantly yeasty flavors of peaches and cream. The finish is clean and satisfying."
33,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,"This is a gorgeous wine with enormous intensity of fruit that comes forward as cherry, blackberry, spice, leather and cigar box. The texture is soft, smooth and velvety: In Violas has the heft and persistency to stand up to rosemary-marinated T-bone steak."
34,5.2,0.32,0.25,1.8,0.10300000000000001,13.0,50.0,0.9957,3.38,0.55,9.2,5,"Downright purple in color, so much so that it looks more like Merlot than Sangiovese. Smells incredibly rich, but not stewy. Concentrated and extracted palate, with no hard tannins or acids. Very smooth but short on the finish. Good for near-term drinking. Imported by Vias Imports."
35,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,"My first impression was how sweet and soft this wine is. But it's not really sweet, just ripe in jammy fruit and young, caramelly oak. It's also pretty tannic. Keenan's regular '02 is actually more rewarding, and I don't think this rather ungainly Reserve will surpass it."
36,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,"Smells roasted and leathery, with a distinct earthy, baked bean-influenced set of aromas. Feels edgy but o.k., with generic boysenberry, chocolate and vanilla flavors. Shows buttery oak and carob on the finish."
37,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,"This is a nice, easy-drinking wine. It's ripe and well-made, from the berry-infused aromas to the soft, round, fruity flavors. Dry, and even sophisticated, you can serve this with fine dinners and save a few bucks. Best Buy."
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.9940000000000001,3.5,0.48,9.8,4,"Funky at first and simply not as smooth, pure and clean as Catena's Nicasia and Adrianna Malbecs, which are the components of this wine. Argentino in 2007 is deep and dark like always, with coconut and cassis aromas preceding a sweet, ultrarich palate that's teetering on candied. Quite oaky and chocolaty as well, with brown sugar and depth to the finish. Drink now through 2014."
39,7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,10.5,5,"Heavy and extracted, with flavors of grilled black cherries, plums, sandalwood and exotic Asian spices. Delicious, but somewhat ponderous. Could develop in a few years."
40,7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,10.5,5,"A tough vintage turns out a tough wine—chewy, tart, slender and herbal. Some pretty blackberry fruit is tucked tightly into the core, but it is overtaken by the acidity and drying tannins."
41,8.8,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,0.9976,3.26,0.51,9.3,4,"Very rich and fruity, with jammy raspberry and cherry flavors that taste almost dessert sweet, this also offers a delicious note of black currant sprinkled with hints of cinnamon and brown sugar. A great barbecue wine. The alcohol is a little high, but that's customary of Dry Creek Zin."
42,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,"The cool climate of Canterbury shows through in this wine's lemony fruit and tangy acidity. Add to that a touch of toast and a custardy, leesy mouthfeel and the wine comes out a winner."
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,"DiamAndes continues to put out clunky Viogniers from the Uco Valley. This is bland and waxy on the nose, with notes of green melon and nectarine. The palate is round and full but lacks personality, while flavors of papaya and melon are heavy and finish yeasty."
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,"This soft, elegant red blend starts with aromas of anise, blackberry and pomegranate, followed by like flavors unrolling gently on the tongue. A good tannic structure and a delicious, spicy finish add to its serious nature. Great now, but has some years to evolve."
45,4.6,0.52,0.15,2.1,0.054000000000000006,8.0,65.0,0.9934,3.9,0.56,13.1,4,"This value-priced Chard offers a medium-intense bouquet of orange rind, Granny Smith apple and white peach pit followed by a round mouth with accents of apple skins and buttercup. Balanced with a solid finish and low alcohol."
46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,"From fifty-year old, high altitude vines on Mt. Etna, this is a stunning and structured rosato made from native grape Nerello Mascalese. It's loaded with finesse, boasting tart apple, wild cherry, strawberry, white pepper, red grapefruit and intense mineral sensations alongside crisp acidity."
47,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,"This is an exotic wine with aromas of graham cracker, blueberry, violet petal and pastry. It feels lush, grabby, chewy and tannic, with heavy flavors of clove, black licorice, savory berry and baked plum. The finish is dominated by oak, with clove and resiny barrel notes that compete with the wine's fresher dark-fruit component."
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,"Impressively textured for such an inexpensive Shiraz, Mitolo's 2007 Jester is a concentrated, slightly smoky, black-olive laced wine. Briny, smoky, savory notes would pair well with herbed leg of lamb. Drink now–2015."
49,5.6,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,0.9954,3.32,0.58,9.2,5,Bacco in Toscana is an easy and slightly awkward blend of Sangiovese and 20% Syrah with bright berry notes and background aromas of moist earth and tobacco.
50,8.8,0.66,0.26,1.7,0.07400000000000001,4.0,23.0,0.9971,3.15,0.74,9.2,5,"This is an aromatically brooding wine with notes of herbs, pepper and brown spices. It drinks quite sweet with a lightly chalky feel."
51,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,"At a time when California rosés are marching toward dryness, this one hews to a richer path. It has flavors of raspberries, strawberries and white sugar."
52,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,"Probably not to everyone's liking, but this oak-fermented Verdejo is a bit like Burgundy and/or white Bordeaux. Cured meat, match stick and pineapple-lemon aromas work their way onto the mildly oaky nose, while the palate has a vanilla-based lushness that works well. Rich, opulent and classy. A sincere food wine."
53,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,"Here's an easygoing expression of Montepulciano with aromas of ripe fruit and toasted spice. It exhibits a dark ruby color and soft, chewy tannins. The wine shows medium length and persistency, but it does come on strong at the beginning."
54,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,"This is the winery's five-variety Bordeaux blend. It's surprisingly light in body and texture, more like a Pinot Noir, and also a little light in flavor. Shows pleasant but modest cherries, raspberries, currants and cedar."
